nb_step episode_reward
1573 1347.0
3165 1366.0
4939 1546.0
7044 1877.0
8558 1288.0
10161 1375.0
11728 1341.0
13610 1660.0
15385 1553.0
17191 1582.0
18759 1344.0
20342 1363.0
21841 1273.0
23373 1306.0
25182 1581.0
26617 1205.0
28318 1471.0
29732 1190.0
31154 1192.0
32577 1197.0
34096 1293.0
35816 1498.0
37301 1261.0
38953 1426.0
40469 1288.0
41896 1201.0
44112 1988.0
45582 1246.0
47073 1257.0
48455 1154.0
50006 1323.0
51489 1253.0
53261 1548.0
54766 1279.0
56514 1518.0
58067 1327.0
59626 1329.0
61061 1201.0
62552 1271.0
64000 1222.0
65425 1201.0
66860 1207.0
68314 1228.0
69705 1165.0
71065 1130.0
72431 1136.0
73867 1208.0
75302 1209.0
76687 1161.0
78120 1209.0
79828 1480.0
81620 1558.0
83428 1580.0
85209 1555.0
86723 1292.0
88379 1430.0
90113 1502.0
91603 1264.0
94005 2172.0
95447 1210.0
96865 1194.0
98368 1271.0
99829 1237.0
