nb_step episode_reward
130 110.0
260 108.0
393 113.0
521 106.0
659 118.0
791 112.0
914 101.0
1063 129.0
1193 110.0
1321 108.0
1450 109.0
1579 109.0
1714 113.0
1847 111.0
1988 121.0
2131 123.0
2274 123.0
2449 155.0
2573 102.0
2738 143.0
2860 102.0
2990 110.0
3125 115.0
3254 109.0
3393 119.0
3520 107.0
3666 124.0
3828 142.0
3992 144.0
4138 126.0
4299 141.0
4424 105.0
4551 107.0
4674 103.0
5058 364.0
5228 148.0
5349 99.0
5474 103.0
5614 120.0
5763 129.0
5959 176.0
6112 131.0
6267 135.0
6398 109.0
6563 145.0
6702 119.0
6845 123.0
6987 122.0
7105 98.0
8262 1135.0
8406 124.0
8536 110.0
8945 389.0
9075 110.0
9214 119.0
9332 96.0
9462 110.0
9593 111.0
9728 115.0
9853 103.0
10014 139.0
10142 108.0
10278 114.0
10405 107.0
10538 113.0
10667 107.0
11083 396.0
11206 103.0
11331 105.0
11471 120.0
11603 112.0
11730 107.0
11859 109.0
11998 117.0
12128 110.0
12582 434.0
12716 114.0
12845 109.0
12969 104.0
13107 118.0
13230 101.0
13371 121.0
13506 115.0
13638 112.0
13771 113.0
13907 114.0
14030 101.0
14175 125.0
14311 116.0
14451 120.0
14584 113.0
14707 103.0
14839 112.0
14965 106.0
15092 107.0
15217 105.0
15339 100.0
15466 107.0
15589 103.0
15719 110.0
15851 110.0
15998 125.0
16125 105.0
16247 102.0
16387 120.0
16516 107.0
16661 125.0
16786 105.0
16904 98.0
17038 114.0
17175 115.0
17300 105.0
17434 114.0
17557 103.0
17683 106.0
17814 109.0
17941 105.0
18077 114.0
18202 103.0
18322 100.0
18453 111.0
18595 120.0
18728 113.0
18873 125.0
19010 115.0
19144 114.0
19271 105.0
19395 102.0
19519 104.0
19655 116.0
19778 101.0
19904 106.0
20039 115.0
20166 107.0
20289 103.0
20415 106.0
20541 104.0
20663 102.0
20789 106.0
20911 102.0
21036 105.0
21157 101.0
21280 103.0
21407 105.0
21530 103.0
21653 101.0
21771 98.0
21898 107.0
22017 99.0
22138 101.0
22262 104.0
22384 100.0
22506 102.0
22628 100.0
22752 104.0
22869 97.0
22991 102.0
23112 101.0
23234 102.0
23351 95.0
23470 99.0
23587 97.0
23702 95.0
23818 96.0
23937 99.0
24053 96.0
24171 96.0
24289 98.0
24404 93.0
24522 98.0
24638 96.0
24752 94.0
24866 94.0
24981 95.0
25095 94.0
25209 94.0
25324 95.0
25438 94.0
25552 92.0
25668 96.0
25781 93.0
25894 93.0
26007 93.0
26121 94.0
26235 92.0
26348 93.0
26462 94.0
26576 92.0
26689 93.0
26802 93.0
26915 93.0
27028 93.0
27141 93.0
27254 93.0
27367 93.0
27480 93.0
27593 93.0
27706 93.0
27819 93.0
27933 92.0
28046 93.0
28159 93.0
28272 93.0
28385 93.0
28498 93.0
28611 93.0
28724 93.0
28837 93.0
28950 93.0
29063 93.0
29177 94.0
29290 93.0
29403 93.0
29516 93.0
29630 92.0
29743 93.0
29856 93.0
29969 93.0
30082 93.0
30195 93.0
30308 93.0
30421 93.0
30534 93.0
30648 94.0
30762 94.0
30875 93.0
30989 92.0
31103 94.0
31216 93.0
31330 94.0
31443 93.0
31556 93.0
31669 93.0
31782 93.0
31895 93.0
32008 93.0
32121 93.0
32235 94.0
32349 94.0
32462 93.0
32575 93.0
32688 93.0
32801 93.0
32914 93.0
33027 93.0
33140 93.0
33253 93.0
33367 94.0
33480 93.0
33593 93.0
33707 92.0
33820 93.0
33935 95.0
34048 93.0
34161 93.0
34274 93.0
34389 95.0
34502 93.0
34617 93.0
34733 96.0
34847 94.0
34961 92.0
35076 95.0
35190 92.0
35305 95.0
