nb_step episode_reward
1618 1384.0
3157 1309.0
4718 1333.0
6214 1272.0
7700 1256.0
9141 1213.0
10586 1219.0
12010 1200.0
13386 1146.0
14774 1156.0
16225 1225.0
17570 1113.0
18913 1115.0
20215 1072.0
21524 1083.0
22817 1063.0
24107 1062.0
25422 1085.0
26706 1052.0
27999 1067.0
29285 1060.0
30600 1093.0
31995 1165.0
33333 1110.0
34744 1181.0
36236 1268.0
37735 1271.0
39241 1276.0
41750 2281.0
43606 1624.0
45456 1624.0
46866 1182.0
48145 1049.0
49427 1050.0
50756 1103.0
52085 1105.0
53392 1079.0
54688 1064.0
56005 1091.0
57309 1078.0
58641 1100.0
59970 1103.0
61266 1070.0
62554 1064.0
63868 1088.0
65296 1200.0
66833 1309.0
68387 1326.0
70113 1498.0
71566 1225.0
73016 1228.0
74452 1206.0
75893 1211.0
77336 1219.0
78901 1337.0
80314 1183.0
81720 1178.0
83073 1129.0
84416 1119.0
85759 1121.0
87069 1082.0
88364 1069.0
89653 1065.0
90931 1054.0
92222 1065.0
93529 1079.0
94839 1086.0
96161 1096.0
97473 1084.0
98830 1129.0
