nb_step episode_reward
1846 1620.0
3430 1356.0
5193 1535.0
6913 1490.0
8374 1231.0
9806 1196.0
11237 1209.0
12725 1260.0
14225 1276.0
15633 1180.0
17033 1178.0
18432 1167.0
19842 1184.0
21211 1141.0
22579 1142.0
23935 1126.0
25310 1145.0
26671 1137.0
28051 1150.0
29405 1130.0
30770 1131.0
32130 1130.0
33460 1104.0
34820 1134.0
36184 1132.0
37517 1105.0
38847 1106.0
40154 1081.0
41450 1064.0
42749 1071.0
44050 1071.0
45346 1066.0
46645 1067.0
47954 1077.0
49248 1068.0
50580 1108.0
51888 1084.0
53242 1132.0
54634 1166.0
56021 1161.0
57441 1198.0
58803 1128.0
60198 1165.0
61555 1131.0
62907 1128.0
64256 1117.0
65593 1109.0
66915 1098.0
68219 1080.0
69563 1118.0
70959 1170.0
72456 1273.0
73997 1307.0
75440 1219.0
76850 1188.0
78188 1114.0
79531 1113.0
80888 1129.0
82216 1102.0
83541 1103.0
84856 1085.0
86151 1065.0
87464 1083.0
88737 1049.0
90053 1088.0
91383 1098.0
92744 1137.0
94130 1156.0
95542 1184.0
96870 1100.0
98221 1121.0
99582 1137.0
